model,CV_RMSLE_mean,CV_RMSLE_std
XGBoost,0.29584091246150834,0.01063052601082203
RidgeCV,0.3021115900306416,0.011939790579694612
LinearRegression,0.30216131026054055,0.012012524923284466
RandomForest,0.3133400918757986,0.009774035035887292
DecisionTree,0.3577258950584733,0.006977592547233472
