price_segment,n,price_range_min,price_range_max,MdAPE,MAE
Q1,186,84350.00000000007,299999.99999999977,15.4,60990.0
Q2,182,301500.0000000002,415000.00000000006,10.3,57385.0
Q3,179,416904.16999999963,539000.0000000001,11.0,66263.0
Q4,182,540000.0000000001,723243.7500000005,11.6,86645.0
Q5,182,725000.0000000006,4668000.000000004,13.0,195568.0
