model,RMSLE,R2_log,MAE_usd,MdAPE_%
XGBoost,0.29607237666672526,0.7007452501443997,112724.68171960759,13.289951388888815
RidgeCV,0.30779085723853367,0.6765875734167579,159560.39337853566,13.28586265504834
LinearRegression,0.30794087915130103,0.6762722243793049,159585.4549108578,13.303349636019203
RandomForest,0.3152437324635182,0.6607356749686324,125640.24162397363,15.949477706957918
DecisionTree,0.36189493340838114,0.5528942260268517,150143.44157047654,19.841553665806032
